ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
2000m5,1.1769161,.67080367,.20080715,-.32183313,.34867132,2.1524825,.75,1.15
2000m6,.017754078,.62563467,3.0161064,-.070168138,.91363072,1.9755933,3.53,3.09
2000m7,-6.9410696,3.3484273,1.4169617,-.55442381,-.87780654,4.0082569,4.5,8.279999999999999
2000m8,2.4746425,1.1068466,.80592966,1.1807041,.37435079,-2.8712602,-1.9,-4.02
2000m9,.77042365,-.27662611,6.9351244,-.27907634,1.013864,-1.162657,2.44,2.91
2000m10,1.4943712,.11785603,2.1417623,.90514302,-.29388326,-.27365541,-2.96,-4.38
2000m11,-4.3236718,-2.8519197,2.4115517,-3.1426454,1.7627028,1.6732833,-1.02,1.46
2000m12,-3.6941106,3.7352996,-3.6369395,-2.6642747,.46072096,1.091711,5.48,7.12
2001m1,6.7066402,10.172052,-2.4785314,-.10515213,-2.9559999,6.167388,7.68,1.85
2001m2,2.9274788,1.0308292,1.5824301,2.6168098,-1.8386501,-.80453449,-.13,-1.72
2001m3,-.64163363,.44573781,-.20860493,2.6884737,.60578668,-.066308141,1.66,.84
2001m4,-.16684842,.61239219,1.7284133,-1.9574709,-.54567379,-.51964021,2.81,2.82
2001m5,2.675374,4.6791992,1.3658153,1.3783259,-.03124903,-.25895369,3.73,2.67
2001m6,-.76469183,.71863747,1.4357958,2.0484037,2.2435572,1.8569922,5.25,5.44
2001m7,.1941756,-.99051201,.56622005,-1.2319053,-.043437004,2.1394892,.04,-1.69
2001m8,-2.9831707,-2.7160611,-1.4689099,.90092897,2.8199089,1.1468625,1.39,2.92
2001m9,1.5296717,-8.2080956,4.2587881,2.7954111,4.1454201,-3.924742,-3.3,-5.09
2001m10,1.7065253,2.5938854,4.4413238,-.63573414,.033955742,1.2885499,-.62,-2.59
2001m11,-3.1324637,7.3318253,-3.5350077,-2.1568761,-.64561224,4.4177413,3,5.75
2001m12,-.26965833,2.4009428,-.70263302,-1.0412133,.40590867,.34517932,4.14,2.96
2002m1,.73980236,4.7409511,4.2414889,-3.7229257,-2.1111298,3.9391038,1.95,1.08
2002m2,-4.552083,.59103417,-2.0990994,-.46632791,.4271549,1.2682855,1,1.87
2002m3,.26013517,3.9011059,-1.813787,-2.9627523,2.8190041,.87471819,6.239999999999999,5.92
2002m4,2.5177264,.57357669,2.1920459,-1.0637264,-.2194894,2.6597209,3.06,1.25
2002m5,.43910569,-2.3830512,1.7773418,2.5641086,1.2123576,-1.2836667,2.26,1.11
2002m6,5.4357462,-1.9721254,1.7093115,2.7814555,2.2663817,-1.4053671,2.74,2.38
2002m7,-.21237755,-2.6586299,.94770336,4.500236,-.67237127,.52534771,-4.47,-5.800000000000001
2002m8,-.34318101,-2.8776112,2.1254196,1.5296727,.59692132,.18478417,.12,-.03
2002m9,3.6009367,-2.6174777,5.1022248,1.1248937,1.129555,.027291059,-2.74,-4.19
2002m10,4.1049666,-5.7175426,4.3466344,2.9154978,-1.4144781,1.0957909,-3.35,-4.34
2002m11,-1.7924254,.87052035,-3.3890641,-1.83056,-.94850266,1.2426593,3.3,4.56
2002m12,-.30168307,-1.5222242,1.1531484,2.3593793,2.0068028,2.6837759,1.98,.9900000000000001
2003m1,2.190634,-2.2548826,.51861763,2.0317774,1.2393377,-1.9731743,-.9900000000000001,-2.71
2003m2,-2.0187123,-8.8618088,5.1653175,8.0936394,3.343132,-1.500181,.35,1.44
2003m3,-.48368502,-2.9247987,3.0678113,.034157753,.75620431,-.85841614,2.34,2.15
2003m4,2.5600209,2.2614927,-1.7511792,-.80311966,-1.5587364,1.3475308,6.3,4.97
2003m5,.23746824,5.8100028,-3.2814097,-2.186995,-.47804576,-5.3987231,5.89,6.260000000000001
2003m6,.92210531,.14293218,.82938945,1.3210642,1.5346624,1.0561259,3.48,2.47
2003m7,-1.3821468,2.5637259,.056714058,-2.9055972,1.2698618,2.8792453,4.37,5.53
2003m8,-.026460856,-.14783481,.67865729,.53761089,.64594907,-.011894941,.67,.52
2003m9,1.3418472,2.9705284,.5889287,-.83221889,.96512216,.53461409,2.68,3.17
2003m10,1.3189781,.60235739,2.2262406,.8614285,.12733814,2.0349431,2.3,1.95
2003m11,-.78493595,-.73784828,.95198441,3.4249456,1.9994558,-.66108751,4.44,4.43
2003m12,.81866837,2.6823208,-2.8483999,1.1645238,.95967937,2.1094325,4,3.71
2004m1,.10732079,.67505503,3.8656602,-.35770082,2.1418362,3.2502236,4.99,4.22
2004m2,-.83884788,-2.9714918,1.7695249,1.989118,.98045224,.37409401,2.07,2.43
2004m3,-1.9605474,-3.7830355,4.0102439,1.1969972,2.4073992,-3.4367561,4.15,5.43
2004m4,1.0914631,5.3379221,-2.8901529,-2.5163803,-4.900476,5.5381851,-12.86,-14.67
2004m5,-4.2859907,-.67997026,1.1855278,1.9750333,-.95611888,1.6956129,4.42,6.890000000000001
2004m6,.92855906,.22452879,-.78301167,-1.0448887,.43333781,.018168688,3.08,3.13
2004m7,-.81263173,-1.0963664,-.21913838,-1.062824,.58854222,3.1799598,-.08,0
2004m8,-3.30864,-3.3129387,-.92863464,.031289101,.197787,3.1690269,5.96,7.46
2004m9,2.1381669,.093829051,.025656521,.76920784,-.41584483,1.8422557,1.34,.36
